Time,Latitude,Longitude,kts,Speed(mph),Altitude
Sat 08:30:40 AM,46.3666,-79.4214,17,20,"1,650"
Sat 08:30:40 AM,46.3666,-79.4214,17,20,"1,650"
Sat 08:31:06 AM,46.3646,-79.4201,17,20,"2,075"
Sat 08:31:31 AM,46.3627,-79.4185,23,26,"2,500"
Sat 08:31:55 AM,46.3608,-79.4167,21,24,"2,925"
Sat 08:32:11 AM,46.3598,-79.4152,19,22,"3,175"
Sat 08:32:36 AM,46.3591,-79.4125,18,21,"3,600"
Sat 08:33:00 AM,46.3592,-79.4098,15,17,"3,975"
Sat 08:33:16 AM,46.3595,-79.4082,17,20,"4,275"
Sat 08:33:38 AM,46.3597,-79.4061,16,18,"4,650"
Sat 08:33:56 AM,46.3597,-79.4044,13,15,"4,975"
Sat 08:34:15 AM,46.3589,-79.4032,13,15,"5,300"
Sat 08:34:31 AM,46.358,-79.4026,15,17,"5,550"
Sat 08:34:51 AM,46.3567,-79.4019,15,17,"5,875"
Sat 08:35:16 AM,46.3551,-79.4009,16,18,"6,300"
Sat 08:35:41 AM,46.3534,-79.3998,15,17,"6,750"
Sat 08:36:06 AM,46.3517,-79.3989,17,20,"7,150"
Sat 08:36:31 AM,46.3499,-79.3977,19,22,"7,550"
Sat 08:36:56 AM,46.3478,-79.3963,19,22,"7,950"
Sat 08:37:20 AM,46.3456,-79.3951,21,24,"8,350"
Sat 08:37:36 AM,46.344,-79.3943,23,26,"8,600"
Sat 08:37:52 AM,46.3424,-79.3933,24,28,"8,900"
Sat 08:38:10 AM,46.3407,-79.3918,24,28,"9,225"
Sat 08:38:27 AM,46.3391,-79.3902,26,30,"9,500"
Sat 08:38:47 AM,46.3372,-79.3876,33,38,"9,850"
Sat 08:39:22 AM,46.3332,-79.3815,40,46,"10,425"
Sat 08:39:52 AM,46.3291,-79.3752,46,53,"10,875"
Sat 08:40:22 AM,46.3251,-79.3678,45,52,"11,350"
Sat 08:40:52 AM,46.3213,-79.3608,47,54,"11,800"
Sat 08:41:40 AM,46.3148,-79.3486,49,56,"12,600"
Sat 08:42:01 AM,46.3118,-79.343,48,55,"13,000"
Sat 08:42:23 AM,46.3089,-79.3379,45,52,"13,350"
Sat 08:43:00 AM,46.3037,-79.3286,49,56,"14,000"
Sat 08:43:33 AM,46.2996,-79.3197,51,59,"14,600"
Sat 08:44:01 AM,46.296,-79.3112,53,61,"15,100"
Sat 08:44:36 AM,46.2914,-79.3,53,61,"15,700"
Sat 08:45:01 AM,46.2882,-79.2924,55,63,"16,125"
Sat 08:45:36 AM,46.2833,-79.2794,65,75,"16,750"
Sat 08:46:02 AM,46.2794,-79.2696,70,81,"17,200"
Sat 08:46:33 AM,46.2749,-79.2567,72,83,"17,725"
Sat 08:47:05 AM,46.2703,-79.2423,75,86,"18,300"
Sat 08:47:35 AM,46.2656,-79.2287,79,91,"18,825"
Sat 08:47:56 AM,46.2625,-79.2186,78,90,"19,200"
Sat 08:48:39 AM,46.2556,-79.1979,80,92,"19,975"
Sat 08:49:06 AM,46.2516,-79.1853,77,89,"20,450"
Sat 08:49:48 AM,46.245,-79.1656,77,89,"21,225"
Sat 08:50:23 AM,46.2392,-79.1492,78,90,"21,875"
Sat 08:50:44 AM,46.2354,-79.1393,78,90,"22,300"
Sat 08:51:14 AM,46.2304,-79.1261,76,87,"22,825"
Sat 08:51:57 AM,46.2222,-79.1058,84,97,"23,600"
Sat 08:52:27 AM,46.2156,-79.0913,90,104,"24,125"
Sat 08:52:47 AM,46.2115,-79.0817,88,101,"24,450"
Sat 08:53:17 AM,46.2054,-79.066,85,98,"25,000"
Sat 08:53:43 AM,46.2007,-79.0531,85,98,"25,425"
Sat 08:54:16 AM,46.1946,-79.0371,84,97,"26,025"
Sat 08:54:43 AM,46.1896,-79.0248,85,98,"26,500"
Sat 08:55:04 AM,46.1855,-79.0146,82,94,"26,850"
Sat 08:55:20 AM,46.1827,-79.007,78,90,"27,150"
Sat 08:55:40 AM,46.1792,-78.9977,77,89,"27,475"
Sat 08:56:16 AM,46.1729,-78.9812,78,90,"28,150"
Sat 08:56:56 AM,46.1659,-78.9625,81,93,"28,850"
Sat 08:57:26 AM,46.1615,-78.9491,77,89,"29,325"
Sat 08:57:46 AM,46.1577,-78.9395,76,87,"29,650"
Sat 08:58:09 AM,46.154,-78.9297,77,89,"30,000"
Sat 08:58:39 AM,46.1498,-78.9161,76,87,"30,475"
Sat 08:58:59 AM,46.1471,-78.9064,73,84,"30,825"
Sat 08:59:22 AM,46.1441,-78.8962,69,79,"31,225"
Sat 08:59:47 AM,46.1405,-78.8855,76,87,"31,625"
Sat 09:00:14 AM,46.1367,-78.8743,73,84,"32,075"
Sat 09:00:39 AM,46.133,-78.863,71,82,"32,450"
Sat 09:01:09 AM,46.1286,-78.8494,77,89,"32,950"
Sat 09:01:34 AM,46.1253,-78.838,77,89,"33,325"
Sat 09:01:58 AM,46.1229,-78.8268,75,86,"33,700"
Sat 09:02:17 AM,46.1212,-78.8179,73,84,"34,000"
Sat 09:02:45 AM,46.1184,-78.804,78,90,"34,375"
Sat 09:03:15 AM,46.1148,-78.7884,84,97,"34,825"
Sat 09:03:42 AM,46.1121,-78.7752,80,92,"35,200"
Sat 09:04:18 AM,46.1076,-78.7556,91,105,"35,850"
Sat 09:04:39 AM,46.1045,-78.7442,87,100,"36,250"
Sat 09:04:55 AM,46.1016,-78.7352,84,97,"36,500"
Sat 09:05:16 AM,46.0979,-78.7252,77,89,"36,875"
Sat 09:05:42 AM,46.0937,-78.7146,67,77,"37,175"
Sat 09:06:08 AM,46.0896,-78.7051,67,77,"37,375"
Sat 09:06:25 AM,46.0869,-78.6981,64,74,"37,500"
Sat 09:06:45 AM,46.0846,-78.6916,60,69,"37,775"
Sat 09:07:01 AM,46.0829,-78.6855,63,72,"38,025"
Sat 09:07:29 AM,46.0808,-78.6739,68,78,"38,525"
Sat 09:07:48 AM,46.0797,-78.6656,72,83,"38,850"
Sat 09:08:07 AM,46.0787,-78.6565,75,86,"39,125"
Sat 09:08:40 AM,46.0773,-78.6395,76,87,"39,375"
Sat 09:09:10 AM,46.0754,-78.6248,80,92,"39,575"
Sat 09:09:40 AM,46.0732,-78.609,82,94,"39,800"
